id,song_name,level,level_index,achievements,fc,fs,dx_score,dx_rating,rate,song_type,upload_time,play_time
1223,Heavenly Blast,14+,3,69.7437,,,2123,99.09184896,b,dx,2024-07-19 13:33:26,2024-07-13 03:46:00
388,きたさいたま2000,14,3,100.1788,,sync,2221,307.26841536,sss,standard,2024-07-19 13:33:26,2024-07-13 03:24:00
1379,sølips,14+,3,94.0939,,,2341,235.53585048,aaa,dx,2024-07-19 13:33:26,2024-07-13 02:38:00
379,Caliburne ～Story of the Legendary sword～,14,3,99.8754,,sync,2564,301.35404442,ssp,standard,2024-07-19 13:33:26,2024-07-13 02:18:00
1102,封焔の135秒,14+,3,98.1265,,,2758,294.8112566,sp,dx,2024-07-19 13:33:26,2024-07-13 03:43:00
186,イアイア★ナイトオブデザイア,11,3,100.632,fc,fsp,961,252.1344,sssp,standard,2024-02-20 11:19:48,
1429,Love's Theme of BADASS ～バッド・アス 愛のテーマ～,14,3,100.2515,,,2884,305.3259684,sss,dx,2024-02-20 11:19:48,
664,Moon of Noon,14,3,75.1347,,,1826,129.8327616,bbb,standard,2024-07-24 17:01:17,2024-07-24 14:01:00
1029,Titania,14+,3,99.6959,,,2693,307.12318954,ssp,dx,2024-07-24 17:01:17,2024-07-24 13:41:00
746,larva,14+,3,79.8514,,,2470,141.8160864,bbb,standard,2024-07-24 17:01:17,2024-07-24 13:29:00
1389,Sage,14,3,100.2376,,,2693,313.9441632,sss,dx,2024-07-24 17:01:17,2024-07-24 13:19:00
270,Outlaw's Lullaby,14,3,99.9201,,sync,1763,295.1639754,ssp,standard,2024-07-24 17:01:17,2024-07-20 09:06:00
1005,バーチャルダム　ネーション,14,4,99.4863,,sync,2621,297.98136576,ss,dx,2024-07-24 17:01:17,2024-07-20 08:55:00
464,Revive The Rave,13+,3,100.8778,fc,sync,2645,310.6656,sssp,standard,2024-07-24 17:01:17,2024-07-20 07:58:00
531,Prophesy One,14+,3,99.7017,,,2670,307.14105702,ssp,standard,2024-07-24 17:01:17,2024-07-20 07:20:00
1541,宵の鳥,13+,3,100.2806,,sync,2022,294.58429056,sss,dx,2024-07-24 17:01:17,2024-07-24 14:55:00
833,the EmpErroR,14+,4,98.1035,,,2636,296.73365645,sp,standard,2024-07-24 17:01:17,2024-07-24 14:25:00
1311,躯樹の墓守,14+,3,99.3414,,,2708,307.87886688,ss,dx,2024-07-24 17:01:17,2024-07-24 13:44:00
1388,チューリングの跡,14+,3,99.059,,,2475,304.9432256,ss,dx,2024-07-24 17:01:17,2024-07-24 13:22:00
1491,Luminaria,12,2,100.9648,fcp,sync,1978,274.6464,sssp,dx,2024-07-24 17:01:17,2024-07-24 13:10:00
1302,BLACK SWAN,14+,3,100.243,,sync,2521,316.1263248,sss,dx,2024-07-24 17:01:17,2024-07-24 13:00:00
836,"Good Bye, Mr. Jack",13+,3,100.5866,fc,sync,2510,312.9168,sssp,standard,2024-07-24 17:01:17,2024-07-20 08:59:00
1294,宿星審判,14,3,99.9716,,sync,2912,301.64430868,ssp,dx,2024-07-24 17:01:17,2024-07-20 08:02:00
411,初音ミクの消失,13+,3,100.6904,fc,,2570,312.9168,sssp,standard,2024-07-24 17:01:17,2024-07-20 07:23:00
1650,ずんだもんの朝食　〜目覚ましずんラップ〜,13,3,99.7452,,sync,1997,275.70570732,ssp,dx,2024-07-24 17:01:17,2024-07-24 15:12:00
204,ナイト・オブ・ナイツ,14,4,99.9226,fc,,2633,303.60482784,ssp,standard,2024-07-24 17:01:17,2024-07-24 13:58:00
1103,渦状銀河のシンフォニエッタ,14+,3,100.0496,,,3315,315.51641856,sss,dx,2024-07-24 17:01:17,2024-07-24 13:38:00
1457,mystique as iris,14+,3,100.0611,,,3076,315.55268496,sss,dx,2024-07-24 17:01:17,2024-07-24 13:26:00
1306,Raven Emperor,14,3,100.4575,,,2459,314.63289,sss,dx,2024-07-24 17:01:17,2024-07-24 13:16:00
1358,インドア系ならトラックメイカー,13,3,100.281,,sync,1877,290.2533264,sss,dx,2024-07-24 17:01:17,2024-07-24 13:04:00
270,Outlaw's Lullaby,14,3,98.9062,,sync,1719,281.0914204,sp,standard,2024-07-24 17:01:17,2024-07-20 08:06:00
812,Alea jacta est!,14+,4,97.5748,,sync,2692,288.821408,s,standard,2024-07-24 17:01:17,2024-07-20 07:55:00
496,AMAZING MIGHTYYYY!!!!,14+,3,99.2964,,,2909,303.60867264,ss,standard,2024-07-24 17:01:17,2024-07-20 07:17:00
1097,ブレインジャックシンドローム,13,3,100.6485,fc,,2767,299.4096,sssp,dx,2024-02-20 11:19:48,
1429,Love's Theme of BADASS ～バッド・アス 愛のテーマ～,14,3,100.8344,,sync,2929,317.4192,sssp,dx,2025-11-05 12:12:24,
1106,Valsqotch,14+,3,99.5123,,,3089,308.65730091,ssp,dx,2024-06-14 07:48:57,
143,Fragrance,14+,4,98.4034,,,1618,291.64799692,sp,standard,2024-07-19 13:33:26,2024-07-19 12:45:00
1115,だから僕は音楽を辞めた,12,3,100.7825,fcp,,1804,281.4,sssp,dx,2024-02-20 11:19:48,
1445,遺伝子レベル∞スパイラル,13+,3,100.2279,,sync,2241,296.59440168,sss,dx,2024-06-18 09:23:30,2024-06-18 01:53:00
1132,表裏一体,12+,3,100.7773,fcp,,2453,290.4048,sssp,dx,2024-02-20 11:19:48,
1135,全力ハッピーライフ,12+,3,100.897,fcp,,2312,288.1536,sssp,dx,2024-02-20 11:19:48,
1458,Rising on the horizon,14,3,100.4088,,sync,2560,312.31153152,sss,dx,2024-07-04 07:20:11,2024-07-04 06:49:00
1458,Rising on the horizon,14,3,100.3373,,sync,2580,312.08913792,sss,dx,2025-11-05 12:12:17,2025-10-26 07:25:00
1139,wheel,12+,3,100.7814,fc,fsp,1485,288.1536,sssp,dx,2024-02-20 11:19:48,
1469,"""411Ψ892""",14,3,99.4008,,,2516,295.65773952,ss,dx,2024-06-14 07:48:57,
1475,SUPER AMBULANCE,14,3,100.1286,,,2790,309.27721968,sss,dx,2025-11-23 09:30:04,2025-11-23 07:12:00
1485,フォニイ,13,4,100.9387,fcp,sync,2124,299.4096,sssp,dx,2025-11-05 12:12:24,
1167,BIRTH,14,3,100.2375,,sync,2381,313.94385,sss,dx,2024-06-18 09:23:30,2024-06-17 07:03:00
1215,"Sqlupp (Camellia's ""Sqleipd*Hiytex"" Remix)",14,3,100.2716,,,3187,314.0506512,sss,dx,2024-06-29 12:31:48,2024-06-26 06:16:00
184,I ♥,12+,3,100.1339,fc,,1288,274.68731448,sss,standard,2024-02-20 11:19:48,
187,ローリンガール,13,3,100.7046,fcp,,1499,297.1584,sssp,standard,2024-06-14 07:48:57,
188,天ノ弱,13,3,100.0142,,,1574,287.32079376,sss,standard,2024-02-20 11:19:48,
1236,Last Samurai,13+,3,99.9818,fc,fsp,1213,293.23662122,ssp,dx,2024-06-14 07:48:57,
190,モザイクロール,10+,2,100.8459,fcp,,1235,240.8784,sssp,standard,2024-02-20 11:19:48,
189,弱虫モンブラン,10+,2,100.4207,,,729,236.43049608,sss,standard,2024-02-20 11:19:48,
1209,Grievous Lady,14,3,100.3544,,,2690,307.80701568,sss,dx,2024-06-14 07:48:57,
1212,emomomo,13+,3,100.634,fc,sync,2377,308.4144,sssp,dx,2024-06-18 09:23:30,2024-06-18 02:22:00
1215,"Sqlupp (Camellia's ""Sqleipd*Hiytex"" Remix)",14,3,99.728,,,3168,305.117816,ssp,dx,2024-02-20 11:19:48,
189,弱虫モンブラン,12+,3,101,app,,1300,285.9024,sssp,standard,2024-02-20 11:19:48,
1216,felys -final remix-,14,3,100.1111,,sync,2943,311.38556544,sss,dx,2024-07-11 16:01:23,2024-07-11 07:38:00
191,脳漿炸裂ガール,14,3,99.533,,sync,1707,296.1206283,ssp,standard,2024-06-14 07:48:57,
1281,Re：End of a Dream,14,3,99.858,,sync,2983,303.4085472,ssp,dx,2024-07-01 06:06:21,2024-07-01 05:17:00
1281,Re：End of a Dream,14,3,100.3123,,,3028,312.01137792,sss,dx,2024-07-19 13:33:26,2024-07-19 13:21:00
1284,CO5M1C R4ILR0AD,14,3,100.2852,,,2636,311.92708608,sss,dx,2024-06-29 12:31:48,2024-06-26 06:09:00
829,敗北の少年,13,3,99.9442,,,2478,282.58223108,ssp,standard,2024-02-20 11:19:48,
1295,脳天直撃,14+,3,99.6499,,,3451,306.98148194,ssp,dx,2024-07-24 17:01:17,2024-07-24 14:04:00
1303,星詠みとデスペラード,14,3,100.3445,,sync,2250,303.441768,sss,dx,2024-06-18 09:23:30,2024-06-17 07:09:00
191,脳漿炸裂ガール,14,3,100.1522,fc,sync,1718,305.02354032,sss,standard,2024-06-29 12:31:48,2024-06-22 01:48:00
191,脳漿炸裂ガール,11,2,98.0051,,,1015,224.81389889,sp,dx,2024-02-20 11:19:48,
193,セツナトリップ,11,2,100.6079,fc,,1206,247.632,sssp,standard,2024-06-14 07:48:57,
1315,Falsum Atlantis.,14,3,100.1662,,,2648,313.7205384,sss,dx,2024-02-20 11:19:48,
1588,Complex Mind,13+,3,100.7743,,sync,2470,310.6656,sssp,dx,2024-07-24 17:01:17,2024-07-24 15:08:00
198,カゲロウデイズ,14,4,100.2673,,,2327,305.37408888,sss,standard,2024-06-29 12:31:48,2024-06-26 05:58:00
199,チルノのパーフェクトさんすう教室,10,2,98.346,,,891,207.6280752,sp,standard,2024-02-20 11:19:48,
1380,パーフェクション,13,3,100.6286,fc,,2325,301.6608,sssp,dx,2024-06-14 07:48:57,
1333,Southern Cross,13+,4,100.5068,fc,,3092,312.9168,sssp,dx,2024-02-20 11:19:48,
200,Bad Apple!! feat nomico,10+,2,100.9018,fcp,,1183,238.6272,sssp,standard,2024-02-20 11:19:48,
833,the EmpErroR,14+,4,99.1319,,,2645,307.22958448,ss,standard,2024-07-11 16:01:23,2024-07-11 06:59:00
227,Garakuta Doll Play,14,3,100.3349,,,2329,307.74720528,sss,standard,2024-02-20 11:19:48,
200,Bad Apple!! feat nomico,12,3,100.8315,fcp,fs,1589,281.4,sssp,standard,2024-02-20 11:19:48,
200,Bad Apple!! feat nomico,13,4,100.5253,fc,,1847,299.4096,sssp,standard,2024-02-20 11:19:48,
339,DRAGONLADY,13+,3,99.6149,,,1563,292.16054021,ssp,standard,2024-02-20 11:19:48,
1512,きゅうくらりん,13+,3,100.6465,fc,fsp,2326,308.4144,sssp,dx,2024-06-18 09:23:30,2024-06-18 02:08:00
1517,最強STRONGER,14,3,99.8905,,,2832,305.61498475,ssp,dx,2024-06-14 07:48:57,
1517,最強STRONGER,14,3,99.6989,,sync,2881,305.02878455,ssp,dx,2024-07-11 16:01:23,2024-07-11 05:28:00
1524,Alice's Suitcase,13+,3,100.3476,,sync,2184,296.94861792,sss,dx,2024-06-29 12:31:48,2024-06-26 05:53:00
1528,Comet Panto Men!,13+,3,100.1538,,sync,2463,300.70176912,sss,dx,2024-06-29 12:31:48,2024-06-26 04:56:00
1528,Comet Panto Men!,13+,3,100.5917,,sync,2524,312.9168,sssp,dx,2024-06-16 05:59:28,2024-06-16 05:29:00
1549,Trrricksters!!,14,3,100.2969,,sync,3101,309.79706472,sss,dx,2024-06-18 09:23:30,2024-06-17 07:40:00
1549,Trrricksters!!,14,3,100.3234,,sync,3147,309.87891792,sss,dx,2024-06-18 09:23:30,2024-06-17 12:28:00
1556,"Hello, Hologram",13+,3,100.2973,,sync,2500,298.96619184,sss,dx,2024-06-16 05:59:28,2024-06-16 05:33:00
1556,"Hello, Hologram",13+,3,100.3961,,sync,2476,299.26069488,sss,dx,2024-06-16 05:59:28,2024-06-16 05:25:00
1558,神っぽいな,13,4,100.1179,,sync,1508,287.61870312,sss,dx,2024-06-14 07:48:57,
1558,神っぽいな,13,4,100.4111,fc,sync,1544,288.46100808,sss,dx,2024-06-16 14:39:52,2024-06-16 08:08:00
